LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,AQSN_DTE,ORIG_DTE,FRST_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,LPI_DTE,FCC_DTE,DISP_DTE,SERVICER,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST
000135176894,R,Other,6.38,140000,360,47,47,1,41,792,N,P,SF,1,P,WY,826,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.38,138120.58,16220,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,792,297872.34,,,,,,,,
000135176895,R,"Rocket Mortgage, LLC",6.99,55000,360,22,22,2,19,801,N,C,SF,1,P,ME,042,NULL,809,N,None,2023-03-01,2022-11-01,2023-01-01,6.99,52720.39,30340,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,801,250000,,,,,,,,
000135176896,R,"Rocket Mortgage, LLC",6.62,383000,360,75,75,2,44,801,N,P,PU,1,I,NC,279,NULL,789,N,None,2023-03-01,2022-12-01,2023-02-01,6.62,377602.06,00000,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,789,510666.67,,,,,,,,
000135176897,R,Other,7.38,175000,360,64,64,2,40,773,N,P,SF,1,I,CA,932,NULL,702,N,None,2023-03-01,2022-12-01,2023-02-01,7.38,44345.95,47300,,,,,,,,,,,,,,,U.S. Bank N.A.,,,,,,,,,,,,,,,,,,,,,,702,273437.5,,,,,,,,
000135176898,R,Other,6.38,498000,360,80,80,1,50,700,N,P,PU,1,P,TX,775,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.38,491254.05,26420,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,700,622500,,,,,,,,
000135176899,R,Other,6.25,220000,360,60,60,2,29,762,N,P,SF,1,P,ID,834,NULL,747,N,None,2023-03-01,2022-12-01,2023-02-01,6.25,216929.39,26820,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,747,366666.67,,,,,,,,
000135176900,R,Other,7.62,224000,360,70,70,1,49,768,N,P,PU,1,P,NC,275,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,7.62,221619.46,39580,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,768,320000,,,,,,,,
000135176901,R,"Rocket Mortgage, LLC",7.5,213000,360,77,77,1,33,694,N,C,SF,1,P,OH,452,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,7.5,211707.35,17140,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,694,276623.38,,,,,,,,
000135176902,R,Other,7.12,304000,360,80,80,2,22,790,N,P,SF,1,I,GA,305,NULL,787,N,None,2023-03-01,2023-01-01,2023-03-01,7.12,300724.61,00000,,,,,,,,,,,,,,,Nationstar Mortgage LLC,,,,,,,,,,,,,,,,,,,,,,787,380000,,,,,,,,
000135176903,R,"Rocket Mortgage, LLC",7.25,95000,360,55,55,1,45,707,N,C,SF,1,P,KY,411,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,7.25,94238.41,26580,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,707,172727.27,,,,,,,,
000135176904,B,Other,7.5,103000,360,68,68,1,46,624,Y,P,PU,1,P,NJ,086,NULL,NULL,N,None,2023-03-01,2022-11-01,2023-01-01,7.5,101915.42,45940,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,624,151470.59,,,,,,,,
000135176905,R,"Rocket Mortgage, LLC",6.5,75000,180,38,38,2,38,806,N,C,SF,1,P,MN,565,NULL,744,N,None,2023-03-01,2022-11-01,2023-01-01,6.5,70493.25,00000,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,744,197368.42,,,,,,,,
